Age;Gender;Education Level;Job Title;Years of Experience;Salary;Country;Race
33.0;Female;Master;Back end Developer;5.0;110000.0;China;White
32.0;Male;Bachelor;Back end Developer;4.0;95000.0;UK;White
26.0;Female;Master;Back end Developer;3.0;90000.0;Canada;Black
26.0;Female;Master;Back end Developer;2.0;70000.0;Canada;White
24.0;Female;Bachelor;Back end Developer;1.0;60000.0;Canada;White
26.0;Female;Master;Back end Developer;3.0;90000.0;China;Korean
24.0;Female;Master;Back end Developer;1.0;60000.0;Canada;Asian
34.0;Male;Master;Back end Developer;6.0;125000.0;Canada;White
29.0;Female;Bachelor;Back end Developer;3.0;85000.0;Australia;Australian
23.0;Male;Bachelor;Back end Developer;1.0;55000.0;UK;Asian
25.0;Female;Master;Back end Developer;2.0;75000.0;China;White
24.0;Female;Bachelor;Back end Developer;1.0;60000.0;UK;White
33.0;Male;Master;Back end Developer;6.0;130000.0;China;Korean
38.0;Female;Master;Back end Developer;10.0;155000.0;Australia;Asian
30.0;Male;Bachelor;Back end Developer;4.0;95000.0;China;Chinese
30.0;Female;Master;Back end Developer;6.0;130000.0;USA;Asian
23.0;Female;Bachelor;Back end Developer;1.0;55000.0;Australia;Asian
32.0;Male;Master;Back end Developer;6.0;130000.0;China;Chinese
27.0;Female;Master;Back end Developer;2.0;70000.0;UK;Mixed
33.0;Male;Master;Back end Developer;6.0;130000.0;China;Chinese
30.0;Male;Bachelor;Back end Developer;4.0;95000.0;USA;White
28.0;Female;Master;Back end Developer;3.0;90000.0;USA;White
27.0;Female;Master;Back end Developer;2.0;70000.0;USA;Hispanic
32.0;Male;Master;Back end Developer;6.0;130000.0;Australia;Asian
30.0;Male;Bachelor;Back end Developer;4.0;95000.0;USA;African American
24.0;Female;Bachelor;Back end Developer;1.0;60000.0;USA;Hispanic
27.0;Female;Master;Back end Developer;2.0;70000.0;China;Korean
30.0;Female;Master;Back end Developer;6.0;130000.0;Australia;Australian
33.0;Male;Master;Back end Developer;6.0;130000.0;China;Chinese
26.0;Male;Bachelor;Back end Developer;2.0;65000.0;UK;Asian
28.0;Female;Master;Back end Developer;3.0;90000.0;USA;Hispanic
27.0;Female;Master;Back end Developer;2.0;65000.0;Australia;Asian
38.0;Female;Master;Back end Developer;10.0;155000.0;Australia;Australian
32.0;Male;Master;Back end Developer;6.0;130000.0;China;Korean
30.0;Male;Bachelor;Back end Developer;4.0;95000.0;UK;White
24.0;Female;Bachelor;Back end Developer;1.0;60000.0;Australia;Australian
27.0;Female;Master;Back end Developer;2.0;70000.0;Canada;White
32.0;Male;Master;Back end Developer;6.0;130000.0;USA;Asian
24.0;Male;Bachelor;Back end Developer;1.0;55000.0;Canada;White
27.0;Female;Master;Back end Developer;2.0;70000.0;China;Chinese
27.0;Female;Master;Back end Developer;2.0;70000.0;UK;Mixed
27.0;Female;Master;Back end Developer;2.0;70000.0;USA;Asian
27.0;Female;Master;Back end Developer;2.0;70000.0;China;Korean
27.0;Male;Bachelor;Back end Developer;2.0;75000.0;Australia;Asian
34.0;Male;Bachelor;Back end Developer;6.0;120000.0;Australia;Asian
27.0;Female;Master;Back end Developer;2.0;70000.0;Canada;White
32.0;Male;Master;Back end Developer;6.0;130000.0;USA;White
38.0;Female;Master;Back end Developer;10.0;155000.0;UK;Asian
27.0;Female;Master;Back end Developer;2.0;70000.0;Australia;Australian
32.0;Male;Master;Back end Developer;6.0;130000.0;Australia;Australian
24.0;Male;Bachelor;Back end Developer;1.0;55000.0;Canada;White
27.0;Female;Master;Back end Developer;2.0;70000.0;Canada;Black
27.0;Female;Master;Back end Developer;2.0;70000.0;USA;African American
32.0;Male;Master;Back end Developer;6.0;130000.0;Canada;Asian
24.0;Male;Bachelor;Back end Developer;1.0;55000.0;USA;Hispanic
27.0;Female;Master;Back end Developer;2.0;70000.0;UK;Mixed
29.0;Female;Master;Back end Developer;3.0;90000.0;USA;Asian
28.0;Male;Bachelor;Back end Developer;2.0;70000.0;UK;Welsh
27.0;Male;Bachelor;Back end Developer;3.0;85000.0;China;Chinese
35.0;Male;Bachelor;Back end Developer;8.0;140000.0;Canada;Black
29.0;Female;Master;Back end Developer;3.0;90000.0;UK;Mixed
27.0;Male;Bachelor;Back end Developer;3.0;85000.0;UK;Mixed
35.0;Male;Bachelor;Back end Developer;8.0;140000.0;Australia;Asian
29.0;Female;Master;Back end Developer;3.0;90000.0;Canada;Black
27.0;Male;Bachelor;Back end Developer;3.0;85000.0;Canada;Black
35.0;Male;Bachelor;Back end Developer;8.0;140000.0;Australia;Australian
29.0;Female;Master;Back end Developer;3.0;90000.0;Canada;Black
27.0;Male;Bachelor;Back end Developer;3.0;85000.0;Canada;Black
35.0;Male;Bachelor;Back end Developer;8.0;140000.0;China;Chinese
29.0;Female;Master;Back end Developer;3.0;90000.0;Australia;White
27.0;Male;Bachelor;Back end Developer;3.0;85000.0;Australia;Asian
35.0;Male;Bachelor;Back end Developer;8.0;140000.0;Australia;Australian
29.0;Female;Master;Back end Developer;3.0;90000.0;Australia;Asian
27.0;Male;Bachelor;Back end Developer;3.0;85000.0;USA;African American
35.0;Male;Bachelor;Back end Developer;8.0;140000.0;USA;African American
29.0;Female;Master;Back end Developer;3.0;90000.0;USA;Hispanic
27.0;Female;Bachelor;Back end Developer;3.0;80000.0;Canada;Asian
36.0;Male;Master;Back end Developer;8.0;140000.0;USA;African American
